type,set,faction,name,text
Spell,Fast Spell,Common,Mortar,Deal 4 damage.
Unit,Uncommon,Omens of the Past [Set2],Storm Glider,"Flying , Overwhelm Pay 5 to give Storm Glider +3 Strength this turn."
Unit,Rare,Echoes of Eternity [Set8],Strange Tracker,"When a player plays a Stranger, it goes Berserk . Pay 3 and exhaust Strange Tracker to draw a Dragon of your choice from your deck that you haven't played this game."
Spell,Rare,"Campaign
The Tale of Horus Traver [Set1002]",Unexpected Results,Transform each copy of a spell of your choice from the enemy deck into Firebombs.
Unit,Uncommon,The Fall of Argenport [Set4],Bloodthirsty Brawler,"Berserk , Overwhelm"
Spell,Fast Spell,Rare,Burn Them All,Deal 5 damage to an enemy. Amplify 3: Deal 5 damage to an additional enemy.
Site,Promo,Dark Frontier [Set6],Garden of Omens,"Your spells cost 1 less. Tamarys' Agenda: Melt Down, Ice Bolt, Resurface."
Unit,Rare,The Flame of Xulta [Set7],Geminon's Berserker,"Aegis , Berserk When Geminon's Berserk er hits the enemy player, kill an enemy attachment."
Unit,Uncommon,The Dusk Road [Set3],Iceberg Warchief,Your spells deal +2 damage. Your other Yeti have +2 Strength.
Unit,Promo,The Fall of Argenport [Set4],"Tamarys, the Geomancer","Flying , Overwhelm Your spells cost 1 less."
Unit,Legendary,The Flame of Xulta [Set7],"Geminon, the Double Helix",Geminon's Mastery counts all damage. Mastery 100: Deal 100 damage to the enemy player.
Site,Legendary,Defiance [Set5],Howling Peak,"When you play a unit, it gets +2 Health until your next turn. Kaleb's Agenda: Kaleb's Favor, Mirror Image, Gun Down."
Attachment,Relic,Legendary,Knucklebones,"Summon: Transform each card in your deck into a random card. At the start of your turn, draw an additional card."
Unit,Rare,"Campaign
Promises by Firelight [Set1007]",Spitflame Draconus,"Flying Pay 4 to deal 1 damage to an enemy unit. If it has Endurance , kill it. Summon: Stun an enemy unit. It stays stunned while you have Spitflame Draconus."
Unit,Rare,Omens of the Past [Set2],Towering Stranger,Strangers have Overwhelm .
Unit,Legendary,The Fall of Argenport [Set4],"Crill, Merciless Pillager",Summon: Kill all attachments. Crill gets a random battle skill for each attachment she killed.
Unit,Common,Omens of the Past [Set2],Topaz Drake,"Flying , Charge"
Unit,Legendary,Omens of the Past [Set2],Molot &amp; Nakova,"Flying , Aegis Spark: Deal 4 damage to each enemy."
Spell,Rare,Omens of the Past [Set2],Decimation,Deal 10 damage. Decimation can't be negated or stopped by Aegis .
Power,Rare,The Dusk Road [Set3],Crest of Chaos,Depleted Gain Fire Shadow. Scout .
Power,Uncommon,The Empty Throne [Set0],Seat of Chaos,Gain Fire Shadow. Depleted unless you have a Sigil in your hand.
Power,Common,The Empty Throne [Set1],Stonescar Banner,Gain Fire Shadow. Depleted unless you have a unit.
Power,Uncommon,Dark Frontier [Set6],Stonescar Insignia,Gain Fire Shadow. Depleted if you have any cards from other factions in your deck.
Spell,Common,The Empty Throne [Set1],Combust,Sacrifice a unit to kill an enemy unit.
Unit,Promo,The Flame of Xulta [Set7],Dracowitch Razca,"When you play a Dragon, sacrifice Razca to double its Strength/ Health. At the start of your turn, if you have seven or more Dragons in your void with different names, sacrifice Razca to play them."
Unit,Rare,The Empty Throne [Set1],Hair-Trigger Stranger,Strangers have Quickdraw .
Attachment,Weapon,The Empty Throne [Set1],Obsidian Armor,NONE
Unit,Common,The Empty Throne [Set1],Obsidian Golem,Entomb: Create and draw a +2/+2 Obsidian Armor.
Spell,Uncommon,"Campaign
Jekk's Bounty [Set1001]",Quarry,Draw one of the top two cards of your deck and reduce its cost by 1. Discard the other.
Spell,Uncommon,The Empty Throne [Set1],Treachery,Deal 2 damage to the enemy player. They discard a unit or site of your choice from their hand.
Spell,Uncommon,The Flame of Xulta [Set7],Voprex's Choice,"- The enemy player sacrifices a unit of their choice, or - Draw a Dragon or weapon from your void."
Unit,Promo,The Fall of Argenport [Set4],"Wyatt, Junk Collector","Quickdraw When Wyatt hits the enemy player, discard a card to draw the top card of their deck. After every three hits, create and draw Smuggler's Stash."
Attachment,Relic Weapon,Rare,Bloodrite Kalis,Summon: Sacrifice all of your units. Bloodrite Kalis gets +2/+2 for each unit sacrificed.
Attachment,Relic,Rare,Brimstone Altar,"Once per turn, you may sacrifice a unit to deal 2 damage to the enemy player."
Unit,Rare,Dark Frontier [Set6],Cen Wastes Smuggler,Summon: You may choose a card from your hand to swap with a Fire or Shadow card in your Black Market . Shift 3
Unit,Rare,The Empty Throne [Set1],Champion of Chaos,Fire Fire Fire: +1/+1 and Overwhelm . Shadow Shadow Shadow: +1/+1 and Deadly .
Unit,Uncommon,"Campaign
Dead Reckoning [Set1003]",Overwinder,"When one of your Grenadin hits the enemy player, each player discards the top two cards of their deck."
Unit,Uncommon,The Dusk Road [Set3],Recycler,"Ultimate: When one of your other units dies, create and draw a +3/+2 Fixit with Overwhelm ."
Attachment,Relic,Rare,Shrine to Karvet,"Your units have +2 Strength, Charge , and Lifesteal if you have sacrificed a unit this turn."
Unit,Legendary,The Empty Throne [Set1],Bandit Queen,Charge Summon: Your units get +1 Strength and Quickdraw this turn.
Attachment,Cursed Relic,Rare,Black Iron Manacles,"At the end of each turn, deal 1 damage to the cursed player for each card that player drew or discarded this turn."
Unit,Uncommon,Defiance [Set5],Clan Huntcaller,Warcry Summon: Your other units get Warcry this turn.
Spell,Fast Spell,Rare,Cremate,Kill a unit or site. It gets Voidbound .
Unit,Rare,"Campaign
Promises by Firelight [Set1007]","Dakus, Ancient Flame","Flying , Overwhelm Entomb: You may sacrifice a unit to draw Dakus from your void."
Unit,Legendary,The Empty Throne [Set1],Statuary Maiden,"Deadly Enemy units can't Entomb or Revenge . When an enemy unit dies, transform it into a +2/+2 Cudgel and draw it."
Attachment,Weapon,Rare,Stonescar Pickaxe,"When the wielder hits the enemy player, create and draw a 1/1 Grenadin. Spellcraft 3: Play Quarry."
Unit,Rare,Echoes of Eternity [Set8],Strange Burglar,"When a player plays a Stranger, their units get +1 Strength this turn. Pay 2, exhaust Strange Burglar, and sacrifice another unit to draw three cards and take 3 damage."
Spell,Fast Spell,Uncommon,Jekk's Choice,"- Play a +1/+1 weapon on each of your attacking units, or - Kill an enemy unit not wielding a weapon."
Attachment,Relic Weapon,Uncommon,Runic Revolver,Quickdraw Summon: Deal 2 damage to the enemy player.
Unit,Legendary,The Empty Throne [Set1],Scraptank,"Summon: Play two 1/1 Grenadin. When one of your other units dies, Scraptank gets +2/+2."
Unit,Legendary,Defiance [Set5],"Syl, Hand of the Cabal","Unblockable , Pledge When Syl hits the enemy player, you get +1 power this turn for each of your units that dealt damage."
Unit,Legendary,The Dusk Road [Set3],Vicious Highwayman,"Charge , Warcry Summon: Deal 1 damage to an enemy. When an enemy unit dies, Vicious Highwayman gets Lifesteal and Quickdraw this turn."
Unit,Uncommon,The Empty Throne [Set1],Warband Chieftain,Entomb: Give one of your units +5 Strength.
Unit,Common,The Flame of Xulta [Set7],Cinder Dragon,Flying
Unit,Rare,The Dusk Road [Set3],Failed Reflection,"Once per turn, you may sacrifice another unit to give Failed Reflection +4/+4."
Unit,Rare,The Empty Throne [Set1],Infernal Tyrant,Lifesteal Summon: Deal 2 damage to each of your other units.
Unit,Legendary,The Fall of Argenport [Set4],"Jekk, Lone Gun","Deadly When a unit goes to the enemy void, it gets Voidbound . Tribute: Kill an enemy unit. Infiltrate: Create and draw Bad News."
Spell,Uncommon,Echoes of Eternity [Set8],Premature Burial,"The enemy player chooses two of their units to save, then sacrifices the rest."
Spell,Uncommon,The Empty Throne [Set1],Smuggler's Stash,Draw two units and two weapons from your void.
Unit,Rare,The Flame of Xulta [Set7],Cruel Wyvarch,"Flying When Cruel Wyvarch hits the enemy player, they sacrifice a unit of their choice."
Unit,Legendary,The Empty Throne [Set1],Stonescar Leviathan,Entomb: The enemy player's Health becomes 7.
Unit,Legendary,The Empty Throne [Set1],"Voprex, the Great Ruin","Flying , Overwhelm Summon: The enemy player must choose: Discard their hand or sacrifice all of their units."
Unit,Legendary,The Flame of Xulta [Set7],"Voprex, Hope's End","Flying , Overwhelm Summon: The enemy player must choose one of their units for each different name among your Dragons. Exhaust those units. Steal them while you have Voprex."
Power,Common,The Empty Throne [Set1],Combrei Banner,Gain Time Justice. Depleted unless you have a unit.
Power,Uncommon,Dark Frontier [Set6],Combrei Insignia,Gain Time Justice. Depleted if you have any cards from other factions in your deck.
Power,Rare,The Fall of Argenport [Set4],Crest of Progress,Depleted Gain Time Justice. Scout .
Power,Uncommon,The Empty Throne [Set0],Seat of Progress,Gain Time Justice. Depleted unless you have a Sigil in your hand.
Unit,Rare,The Fall of Argenport [Set4],"Alessi, Combrei Archmage","When you play a spell, Alessi gets +1/+1 and you gain 1 Armor."
Spell,Fast Spell,Uncommon,Aamri's Choice,"- Give one of your units +3/+3 and Overwhelm this turn, or - Silence an attacking enemy unit and put it into the enemy hand."
Unit,Common,The Empty Throne [Set1],Awakened Student,Empower: +1/+1.
Unit,Uncommon,The Empty Throne [Set1],Desert Marshal,Ambush Summon: You may silence another unit.
Attachment,Weapon,Rare,Hammer of Unity,The wielder is invulnerable to damage on your turn. Your units that share a type with the wielder cost 1 less.
Unit,Common,The Flame of Xulta [Set7],Intrepid Longhorn,Mastery 6: Play a random Sigil from your deck.
Unit,Rare,"Campaign
Dead Reckoning [Set1003]","Jaril, Amaran Ghostblade",Ultimate: Pay 5 to double the Strength/ Health of one of your units wielding a weapon.
Attachment,Relic,Uncommon,Pillar of Progress,"+1 Maximum Power. When you play a relic weapon, it gets +1 Strength."
Spell,Fast Spell,Common,Safe Return,Put one of your units into your hand and give it +1/+1.
Spell,Fast Spell,Rare,Shush,"Silence a unit and each copy in its owner's hand, deck, and void."
Unit,Uncommon,The Dusk Road [Set3],Auric Record Keeper,Entomb: Give one of your units +1/+1.
Unit,Rare,"Campaign
Jekk's Bounty [Set1001]",Combrei Emissary,You can play an additional power card each turn.
Unit,Uncommon,The Empty Throne [Set1],Combrei Healer,Summon: You and a unit each get +3 Health.
Unit,Rare,"Campaign
Promises by Firelight [Set1007]","Harga, Armory Warden","+1 Strength for each of your other Minotaurs. When you play another unit, it deals its Strength in damage to Harga. Mastery 8: Your Minotaurs get +2/+2 and Killer ."
Unit,Legendary,The Empty Throne [Set1],Knight-Chancellor Siraf,Overwhelm Pay 7 and exhaust Siraf to play a random Time or Justice unit and double its Strength/ Health.
Unit,Rare,Dark Frontier [Set6],Pearl Abbey Smuggler,"When you play a spell, Pearl Abbey Smuggler gets +1/+1. Summon: You may choose a card from your hand to swap with a Time or Justice card in your Black Market ."
Unit,Rare,The Flame of Xulta [Set7],Qirin Ascendant,"Flying , Lifesteal Summon: Kill an enemy attachment. Mastery 4: +2/+2."
Spell,Fast Spell,Rare,Stand Together,Your units get +1/+1 and Aegis .
Unit,Rare,Echoes of Eternity [Set8],Strange Duelist,"When a player plays a Stranger, they gain 1 Health and 1 Armor. Pay 4 and exhaust Strange Duelist to silence a non-Stranger unit."
Attachment,Weapon,Rare,Vodakhan's Staff,"Empower: If you have 8 or more Maximum Power, draw Vodakhan's Staff from your void."
Unit,Rare,The Empty Throne [Set1],Copperhall Elite,"Aegis , Overwhelm"
Unit,Rare,The Empty Throne [Set1],Enlightened Stranger,Empower: Strangers get +1/+1.
Unit,Promo,The Fall of Argenport [Set4],Genetrix Irel IV,+1 Maximum Power. Summon: Give one of your other units +4/+4 while you have Genetrix Irel IV.
Unit,Uncommon,The Empty Throne [Set1],Karmic Guardian,"Flying , Endurance , Lifesteal"
Unit,Uncommon,Defiance [Set5],Penitent Bull,Pay 5 and sacrifice Penitent Bull to play three random Sigils from your deck Depleted .
Attachment,Weapon,Legendary,Sword of Unity,"Lifesteal , Overwhelm Spellcraft 2: Play Stand Together."
Spell,Legendary,The Empty Throne [Set1],The Great Parliament,Play a 4/4 Owl with Flying for every 4 Maximum Power you have.
Unit,Legendary,The Empty Throne [Set1],Reality Warden,Cards can't leave the enemy void.
Unit,Legendary,Defiance [Set5],Serene Meditant,"Overwhelm , Pledge Empower: +4/+4 this turn."
Spell,Rare,The Flame of Xulta [Set7],Shen-Ra Speaks,Kill all units. Decimate: Silence and kill all units instead.
Attachment,Relic,Rare,Stronghold's Visage,"At the start of your turn, you gain 1 Health and 1 Armor."
Unit,Legendary,The Flame of Xulta [Set7],"Aamri, Dragonbane","Enemy Dragons can't be played. Summon: If any of your units have completed all of their Mastery abilities, they get those effects two additional times. Then refresh their Mastery ."
Unit,Rare,The Empty Throne [Set1],Champion of Progress,Time Time Time Time Time Time: +6/+6. Justice Justice Justice Justice Justice Justice: +6/+6.
Unit,Uncommon,The Empty Throne [Set1],Minotaur Ambassador,Summon: Play a Time Sigil and a Justice Sigil from your deck.
Spell,Uncommon,The Fall of Argenport [Set4],Siraf's Choice,"- Double the Strength/ Health of your units this turn, or - Draw a unit of your choice from your deck and double its Strength/ Health."
Unit,Legendary,The Empty Throne [Set1],"Vodakhan, Temple Speaker",+ Strength/+ Health equal to your Maximum Power. Your power cards have Destiny .
Spell,Legendary,The Empty Throne [Set1],A New Tomorrow,Play the top 10 power cards from your deck Depleted .
Power,Rare,The Dusk Road [Set3],Crest of Wisdom,Depleted Gain Time Primal. Scout .
Power,Common,The Empty Throne [Set1],Elysian Banner,Gain Time Primal. Depleted unless you have a unit.
Power,Uncommon,The Flame of Xulta [Set7],Elysian Insignia,Gain Time Primal. Depleted if you have any cards from other factions in your deck.
Power,Uncommon,The Empty Throne [Set0],Seat of Wisdom,Gain Time Primal. Depleted unless you have a Sigil in your hand.
Spell,The Empty Throne [Set1],"Multi
 - Elysian",Dragon's Eye,Draw three cards.
Spell,Legendary,The Empty Throne [Set1],Call the Ancients,Put four 6/6 Titans with Aegis and Endurance into your deck.
Unit,Rare,The Fall of Argenport [Set4],"Derry Cathain, Ripclaw Rider",Summon: Increase the cost of a spell or site in the enemy hand by 1. Ultimate: Pay 3 to give Derry +4 Strength and Overwhelm if you have two or more spells in your void.
Spell,Fast Spell,Uncommon,Equivocate,"Put a unit into its owner's hand, then transform it into a random unit with the same cost."
Spell,Fast Spell,Common,Honeypot,"Deal 1 damage to an enemy unit, plus additional damage equal to the cost of your highest cost relic."
Attachment,Relic,Uncommon,Majestic Skies,Your units with Flying have +1/+1. Ultimate: Pay 6 to draw a unit with Flying of your choice from your deck.
Spell,Fast Spell,Uncommon,Sodi's Choice,"- Play Sandbind on an enemy unit, or - Negate an enemy fast spell."
Unit,Uncommon,The Empty Throne [Set1],Storm Lynx,Ambush
Unit,Rare,"Campaign
Promises by Firelight [Set1007]",Stormtamer's Mount,"Flying , Ambush Summon: Stormtamer's Mount is invulnerable to damage this turn. Mastery 5: Your Flying units get Aegis ."
Unit,The Empty Throne [Set1],"Multi
 - Elysian",Titan,"Endurance , Aegis"
Site,Legendary,Defiance [Set5],Torgov's Trading Post,"At the end of your turn, discard a random power card from your deck. Torgov's Agenda: Call the Ancients, Ask for Directions, Weather the Storm."
Spell,Uncommon,The Empty Throne [Set1],Twinning Ritual,"Create and draw a copy of a unit in your hand, then the copy gets +1/+1."
Unit,Common,The Flame of Xulta [Set7],Wanderlust Qirin,Flying Muster: +1/+1.
Spell,Rare,The Empty Throne [Set1],Accelerated Evolution,Echo Give a unit +1/+1 and your choice of Flying or Endurance .
Unit,Common,The Empty Throne [Set1],Amaran Camel,"When you draw a card, you gain 1 Health."
Unit,Rare,"Campaign
Jekk's Bounty [Set1001]",Avisaur Patriarch,Flying Your Dinosaurs cost 1 less. Ultimate: Pay 6 to give your Dinosaurs +2/+2.
Attachment,Relic,Legendary,Crown of Possibilities,Units you draw gain a random skill.
Unit,Uncommon,The Empty Throne [Set1],False Prince,"Overwhelm When a spell is played directly on False Prince, transform him into a 1/1 Frog."
Unit,Rare,Defiance [Set5],Great Valley Smuggler,+2/+2 while you have a relic. Summon: You may choose a card from your hand to swap with a Time or Primal card in your Black Market .
Unit,Common,The Empty Throne [Set1],Pteriax Hatchling,"Flying , Echo"
Unit,Legendary,The Flame of Xulta [Set7],Sodi the Metamorph,"At the start of your turn, draw a card. Muster: Replenish your power."
Attachment,Weapon,Rare,Sodi's Spellshaper,"When the wielder hits the enemy player, draw a card. Spellcraft 2: Play Equivocate."
Unit,Rare,Echoes of Eternity [Set8],Strange Sorcerer,"When a player plays a Stranger, they replenish one power. Pay 4 and exhaust Strange Sorcerer to draw a card for each of your units with Flying ."
Unit,Promo,Dark Frontier [Set6],"Albon Roa, of the Order",Onslaught: Double the cost of a card in the enemy hand. Infiltrate: +2 Health and Killer .
Unit,Rare,The Empty Throne [Set1],Champion of Wisdom,Time Time Time Time: +2/+2. Primal Primal Primal Primal: Flying .
Spell,Fast Spell,Uncommon,Cirso's Choice,"- You gain an Aegis and 6 Health, or - Deal 2 damage to each unit."
Attachment,Relic,Rare,Crystalline Chalice,"Once per turn, you may pay 2 and exhaust one of your units with 2 Strength or less to give it +2/+2 and draw a card."
Unit,Uncommon,The Empty Throne [Set1],Nesting Avisaur,Flying Summon: You may put a card from your hand on top of your deck. Its cost is reduced by 2.
Unit,Uncommon,The Dusk Road [Set3],Scaletender,Dinosaur Ally: Create and draw a 3/3 Dinosaur with Overwhelm .
Unit,Echoes of Eternity [Set8],"Multi
 - Elysian",Albon Shade,"At the end of your turn, this gets -1 Health. Pay 2 and sacrifice Albon Shade. Enemy units are Reckless and can't fly until your next turn."
Unit,Rare,Echoes of Eternity [Set8],"Albon, Fallen","Aegis , Charge , Endurance Summon: Enemy units are Reckless and can't fly until your next turn. Corrupted 2"
Spell,Rare,Defiance [Set5],Bazaar Stampede,Your units get +1/+1 for each relic you have with a different name.
Unit,Legendary,The Empty Throne [Set1],"Cirso, the Great Glutton","Overwhelm When a unit blocks or is blocked by Cirso, transform that unit into a 2/2 Pig."
Unit,Rare,Defiance [Set5],Colossal Pteriax,"Flying , Pledge Pay 3 to give Colossal Pteriax +1/+1."
Unit,Rare,The Empty Throne [Set1],Explorer Emeritus,Exhaust Explorer Emeritus to draw a card.
Unit,Rare,The Empty Throne [Set1],Hunting Pteriax,"Flying , Ambush"
Unit,Rare,The Flame of Xulta [Set7],Ila &amp; Mizo,Endurance Mastery 12: Play a copy of Ila &amp; Mizo.
Unit,Rare,The Empty Throne [Set1],Fortunate Stranger,"When a player plays a Stranger, that player draws a card."
Unit,Legendary,The Empty Throne [Set1],"Curiox, the Collector","Flying , Endurance Fate: Put a Dragon's Eye into your deck."
Unit,Legendary,The Empty Throne [Set1],Shimmerpack,Summon: Transform any number of units into copies of Shimmerpack.
Unit,Uncommon,Defiance [Set5],Tunneling Gargantua,"Killer , Pledge + Strength/+ Health equal to the cost of your highest cost relic."
Power,Rare,The Fall of Argenport [Set4],Crest of Mystery,Depleted Gain Time Shadow. Scout .
Power,Uncommon,The Empty Throne [Set0],Seat of Mystery,Gain Time Shadow. Depleted unless you have a Sigil in your hand.
Power,Common,Omens of the Past [Set2],Xenan Banner,Gain Time Shadow. Depleted unless you have a unit.
Power,Uncommon,The Flame of Xulta [Set7],Xenan Insignia,Gain Time Shadow. Depleted if you have any cards from other factions in your deck.
Spell,Common,Omens of the Past [Set2],Bloodcall Invocation,Lifeforce: Play a Restless Radiant with Strength/ Health equal to the Health you gained this turn.
Unit,Common,The Flame of Xulta [Set7],Nahid's Faithful,Lifesteal Summon: You may sacrifice another unit to give Nahid's Faithful +2/+2.
Unit,The Flame of Xulta [Set7],"Multi
 - Xenan",Xultan Cultist,NONE
Unit,Uncommon,Omens of the Past [Set2],Blistersting Wasp,"Flying , Deadly"
Unit,Rare,Echoes of Eternity [Set8],Endless Nightmare,"Endless Night mare can't block. Time Time Shadow Shadow: At the end your turn, if you have 4 or more remaining power, play Endless Night mare from your void."
Unit,"Campaign
Into Shadow [Set1004]","Multi
 - Xenan",Helici,"Deadly , Unblockable"
Unit,Common,Defiance [Set5],Lethrai Courtier,"When you play a relic, draw the top power card of your deck."
Unit,Rare,"Campaign
Dead Reckoning [Set1003]",Mitotic Wisp,"Flying Your Radiants cost 1 less. Ultimate: When 7 other units go to the void, draw a Radiant of your choice from your deck."
Spell,Uncommon,The Flame of Xulta [Set7],Nahid's Choice,"- Play two 1/1 Cultists, or - The enemy player discards a spell or site of your choice from their hand."
Unit,Rare,Echoes of Eternity [Set8],Strange Navigator,"When a player plays a Stranger, each unit in their void gets +1/+1. Pay 9 and exhaust Strange Navigator to draw five units from your void."
Unit,Promo,The Flame of Xulta [Set7],The Merriest Mandrake,"Your Ultimate abilities cost half as much to use (rounded up). When you use an Ultimate ability, you gain 2 Health and draw a card."
Spell,Uncommon,Omens of the Past [Set2],Vara's Choice,"- Silence an enemy unit and put it into the enemy hand, or - Silence a unit in the enemy player's hand. They discard it."
Spell,Fast Spell,Rare,Worthy Cause,Sacrifice a unit to silence an enemy unit and give it -1/-1 for each unit in your void. Decimate: Your units get Lifesteal this turn.
Unit,Rare,The Flame of Xulta [Set7],"Zhen-Zu, Hand of Nahid","At the start of your turn, discard the top card of your deck. When another Cultist goes to your void, Zhen-Zu gets +1/+1 and you gain 1 Health."
Unit,Legendary,Omens of the Past [Set2],"Ayan, the Abductor","Ambush , Lifesteal Ultimate: Pay 8 to silence a unit in your void, then play it with +3/+3."
Spell,Fast Spell,Rare,Banish,Kill an enemy unit or relic with cost 5 or less.
Unit,Promo,Defiance [Set5],Cursed Prophet Deleph,"Unblockable When Deleph hits the enemy player, he sees a vision of two random cards. Draw one of your choice, then the enemy player draws the other."
Unit,Rare,Defiance [Set5],Ebon Dune Smuggler,Ambush Summon: You may choose a card from your hand to swap with a Time or Shadow card in your Black Market .
Unit,Omens of the Past [Set2],"Multi
 - Xenan",Restless Radiant,NONE
Unit,Uncommon,Defiance [Set5],Sadistic Ritualist,"Pledge Pay 2, exhaust Sadistic Ritualist, and sacrifice another unit to draw a card."
Unit,Uncommon,Omens of the Past [Set2],Shadowlands Bonepicker,Pay 5 to give Shadowlands Bonepicker +2/+1.
Attachment,Relic,Rare,Sunset Stone,"Your Elves have +1/+1 and Endurance . Once per turn, you may pay 5 to draw two Elves from the top five cards of your deck, then discard the rest."
Unit,Promo,The Empty Throne [Set1],"Azindel, the Wayfinder","+1 Maximum Power. When another unit goes to a void, +1 Maximum Power."
Spell,Uncommon,"Campaign
The Tale of Horus Traver [Set1002]",Cruciation,"Kill a unit with a single faction, then gain its Health."
Unit,Rare,Defiance [Set5],Dread,"Lifesteal , Charge , Pledge At the end of the turn, sacrifice Dread. Then draw another unit from your void."
Unit,Uncommon,The Dusk Road [Set3],Duskwalker,Summon: Night fall. +2 Maximum Power at Night .
Unit,Rare,Omens of the Past [Set2],"Katra, the Devoted","Lifeforce: When you gain Health, your units get +1/+1."
Attachment,Relic,Legendary,Mask of Torment,"+1 Maximum Power. Lifeforce: When you gain Health, +1 Maximum Power. Ultimate: Pay 20 to play The Tormentor."
Unit,Uncommon,The Fall of Argenport [Set4],Preserver of Dualities,"When you play a Radiant, play a 1/1 Wisp. Pay 2 and exhaust Preserver of Dualities to give one of your Wisps +2 Strength."
Spell,Common,Omens of the Past [Set2],Xenan Augury,Draw one of the top three cards of your deck. Put the rest on the bottom. You gain 3 Health.
Unit,Common,Omens of the Past [Set2],Xenan Cupbearer,Lifesteal
Unit,Rare,The Dusk Road [Set3],Agile Deathjaw,Ambush at Night . Your other Dinosaurs have +1/+1.
Unit,Uncommon,Omens of the Past [Set2],Bloodcall Invoker,"Lifeforce: At the end of your turn, play a Restless Radiant with Strength/ Health equal to the Health you gained this turn."
Spell,Uncommon,Echoes of Eternity [Set8],Eremot's Machinations,"Play a 1-cost unit, a 2-cost unit, and a 3-cost unit from your void. They get +1/+1 and Overwhelm ."
Site,Legendary,Defiance [Set5],Xenan Temple,"When an enemy unit dies, steal it and put it into your void. Worldjoiner's Agenda: Xenan Initiation, Scare, Xenan Augury."
Attachment,Relic Weapon,Rare,Blistersting Claws,You have Deadly while you have a unit with Deadly .
Unit,Rare,Omens of the Past [Set2],Champion of Mystery,"Time Time Time Time Time Time: When Champion of Mystery hits the enemy player, draw a card. Shadow Shadow Shadow Shadow Shadow Shadow: Unblockable ."
Spell,Fast Spell,Rare,Siphon Vitality,Enemy units get -1/-1. Your units get +1/+1.
Unit,Legendary,The Flame of Xulta [Set7],"Nahid, the Immortal","At the start of each player's turn, they sacrifice another unit. If they can't, Nahid deals 7 damage to them. The first time you have 50 Health or more, play a Nahid from your deck."
Unit,Rare,Omens of the Past [Set2],Prophetic Stranger,Strangers have +3/+3.
Unit,Legendary,The Fall of Argenport [Set4],Unraveler of Destinies,Deadly Summon: You may sacrifice any number of other units to draw a card and gain 1 Health for each.
Unit,Legendary,"Campaign
Into Shadow [Set1004]","Azindel, Revealed","When one of your units hits the enemy player, draw the top card of their deck and reduce its cost by 2. Summon: Play two 1/1 Helici with Deadly and Unblockable ."
Unit,Legendary,Omens of the Past [Set2],Worldjoiner,"When Worldjoiner attacks, each enemy unit gets -1/-1 and she gets that much Strength/ Health."
Power,Rare,The Fall of Argenport [Set4],Crest of Order,Depleted Gain Justice Primal. Scout .
Power,Common,Omens of the Past [Set2],Hooru Banner,Gain Justice Primal. Depleted unless you have a unit.
Power,Uncommon,Dark Frontier [Set6],Hooru Insignia,Gain Justice Primal. Depleted if you have any cards from other factions in your deck.
Power,Uncommon,The Empty Throne [Set0],Seat of Order,Gain Justice Primal. Depleted unless you have a Sigil in your hand.
Attachment,Cursed Relic,Rare,Electrostatic Distortion,The cursed player can't have more than 1 Armor and their spells deal -1 damage.
Spell,Fast Spell,Common,Bring Down,"Silence an enemy unit. If it had Flying , kill it."
Unit,Legendary,Omens of the Past [Set2],"Kothon, the Far-Watcher",Endurance Ultimate: Pay 6 to give Kothon Flying and play a 4/4 Owl with Flying .
Attachment,Weapon,Uncommon,Linebreaker's Shield,Endurance Spellcraft 3: Play Shield Bash.
Attachment,Cursed Relic,"Campaign
The Tale of Horus Traver [Set1002]",Omen of Austerity,The cursed player can't play cards with the name of the transformed relic.
Spell,Fast Spell,Uncommon,Parul's Choice,"- Draw a curse of your choice from your deck that you haven't played this game, or - Give one of your units +1/+1 and Aegis ."
Spell,Rare,"Campaign
The Tale of Horus Traver [Set1002]",Vision of Austerity,Transform an enemy relic into an Omen of Austerity cursed relic.
Unit,Uncommon,Omens of the Past [Set2],Aerialist Trainer,"Mentor: Give the Student +1/+1. If the Student has Flying , draw a card."
Spell,Fast Spell,Uncommon,Eilyn's Choice,"- Negate an enemy spell with cost 4 or more, or - Kill an attacking enemy unit with 4 Strength or more."
Unit,Legendary,"Campaign
Dead Reckoning [Set1003]",Hooru Pacifier,"Flying , Overwhelm Weapons can't be played."
Unit,Common,The Flame of Xulta [Set7],Misery Walker,Flying and Lifesteal while an enemy is cursed.
Unit,Rare,Dark Frontier [Set6],Rime Conclave Smuggler,Onslaught: You and Rime Conclave Smuggler each get Aegis . Summon: You may choose a card from your hand to swap with a Justice or Primal card in your Black Market .
Unit,Common,Omens of the Past [Set2],Spellshield Architect,Aegis Mentor: Give the Student Aegis .
Unit,Rare,Echoes of Eternity [Set8],Strange Rider,"When a player plays a Stranger, they draw a relic from the top six cards of their deck and bottom the rest. Pay 3 and exhaust Strange Rider. He gets + Strength/+ Health for your highest cost relic."
Unit,Rare,Echoes of Eternity [Set8],"Yojimba, Ghostblade","+ Strength equal to your Maximum Power. When Yojimba hits the enemy player, draw two cards. When the enemy player plays a unit, they silence Yojimba."
Attachment,Cursed Relic,The Flame of Xulta [Set7],Curse of Loneliness,"At the end of the cursed player's turn, if they didn't play a unit, deal 1 damage to them and you gain 1 armor."
Unit,Rare,The Flame of Xulta [Set7],Forbidden-Rider Outcast,"Flying Summon: Play a -3 Strength curse on an uncursed enemy unit. If you can't, play Curse of Loneliness on the enemy player instead."
